timestamp,tweet,username
Thu Oct 25 03:17:59 +0000 2018,"Penyaluran BPNT PKH dan non PKH di 5 E-Warong dan 3 agen BNI di kecamatan Adiwerna...
Semoga lancar &amp; berkah...… https://t.co/sfQ239GeHC",PkhTegal
Thu Oct 25 03:17:57 +0000 2018,@BNI #BNIQuotes,Putry60237014
Thu Oct 25 03:17:46 +0000 2018,"RT @BNI: Jika kita menikmati hasil dari apa yang kita usahakan sendiri, maka akan terasa lebih nikmat dan bahagia, meskipun hasilnya tidak…",Princekodokk18
Thu Oct 25 03:17:33 +0000 2018,RT @askmenfess: [Askmf] aku cinta BNI https://t.co/UBpPYTGjZS,Denianovias
Thu Oct 25 03:17:31 +0000 2018,"“A BNI power team is a privilege, because it is by far the most efficient and effective concept that BNI has to off… https://t.co/maIAgcfYOg",BNIindia
Thu Oct 25 03:16:41 +0000 2018,"RT @BNI: Jika kita menikmati hasil dari apa yang kita usahakan sendiri, maka akan terasa lebih nikmat dan bahagia, meskipun hasilnya tidak…",Riqisan
Thu Oct 25 03:16:35 +0000 2018,"RT @BNI: Jika kita menikmati hasil dari apa yang kita usahakan sendiri, maka akan terasa lebih nikmat dan bahagia, meskipun hasilnya tidak…",Imamuncar_
Thu Oct 25 03:16:00 +0000 2018,"RT @BNI: Jika kita menikmati hasil dari apa yang kita usahakan sendiri, maka akan terasa lebih nikmat dan bahagia, meskipun hasilnya tidak…",GalihGardiawan
Thu Oct 25 03:15:58 +0000 2018,RT @askmenfess: [Askmf] aku cinta BNI https://t.co/UBpPYTGjZS,ameldvnd
Thu Oct 25 03:15:54 +0000 2018,"RT @ditjen_imigrasi: Sahabat Mido, dalam rangka Hari Dharma Karyadhika, Kementerian Hukum dan Hak Asasi Manusia Republik Indonesia bersama…",kanim_bekasi
Thu Oct 25 03:15:46 +0000 2018,"Hai @BNI , call center 1500046 kok gak bisa dihubungi ya?",YogaTrisnadi
Thu Oct 25 03:15:38 +0000 2018,@LazadaIDCare ini kenapa ya? Saya bayar menggunakan KK BNI dgn kode voucher “bnithursday” https://t.co/0QdCI1fK7U,Pursud
Thu Oct 25 03:15:34 +0000 2018,"RT @BNI: Jika kita menikmati hasil dari apa yang kita usahakan sendiri, maka akan terasa lebih nikmat dan bahagia, meskipun hasilnya tidak…",pauljog
Thu Oct 25 03:15:32 +0000 2018,"RT @BNI: Jika kita menikmati hasil dari apa yang kita usahakan sendiri, maka akan terasa lebih nikmat dan bahagia, meskipun hasilnya tidak…",shoji__0
Thu Oct 25 03:15:32 +0000 2018,"RT @hariankompas: Enam perusahaan Indonesia masuk dalam daftar perusahaan terbaik di dunia. Bagi keenam perusahaan ini, sumber daya manusia…",RachmanBenny
Thu Oct 25 03:15:11 +0000 2018,la lelang acc ini via bni https://t.co/JQNoCb7F7l,lelangacc_erpe
Thu Oct 25 03:15:05 +0000 2018,"RT @BNI: Jika kita menikmati hasil dari apa yang kita usahakan sendiri, maka akan terasa lebih nikmat dan bahagia, meskipun hasilnya tidak…",h_atilla_
Thu Oct 25 03:14:57 +0000 2018,@ayaheShaka @BPPD_JATENG @bank_jateng @BNI naaa khan... orang sabar BEBAS BIAYA. hehehehehehehe... Terima kasih tel… https://t.co/LesJ5cu1CM,pic_sakpole
Thu Oct 25 03:14:06 +0000 2018,"Dear @BNI @BNICustomerCare tolong aduan sy di followup dong, sy trf antar bank, transferan ga masuk, tp saldo udh b… https://t.co/76gtQ9fIrh",ninameilisa
